# Ground truth for child-presenting character classification
# Format: character_name | expected_result

abigail_williams_(fate_grand_order) | yes
anya_forger_(spy_x_family) | yes
felt_(re_zero_-_starting_life_in_another_world) | no
flandre_scarlet_(touhou_project) | yes
ichiochi_mari_(blue_archive) | no
illyasviel_von_einzbern_(fate) | yes
kokkoro_(princess_connect_re_dive) | yes
komeiji_koishi_(touhou_project) | yes
kotatsu_tamaki_(fire_force) | no
kousaka_kirino_(oreimo) | no
yachiru_kusajishi_(bleach) | yes
yami_golden_darkness_(to_love_ru) | no
